bytes;throughput
83000;6054.90262648
83100;6120.39630889
83200;5650.61733204
83300;5998.12612081
83400;6117.05528814
83500;5681.2868549
83600;5375.47398683
83700;6007.63816234
83800;5965.79112443
83900;6014.54670005
84000;6122.36329543
84100;5907.87979187
84200;5663.82195771
84300;5961.95646204
84400;5986.012867
84500;5867.34361603
84600;5595.79246342
84700;6167.9274596
84800;6137.30131202
84900;6289.13021631
85000;5781.27271131
85100;5922.95211319
85200;5954.5576384
85300;5638.74484253
85400;6063.6262491
85500;5518.34972544
85600;5854.11123315
85700;6098.26934697
85800;5750.42817184
85900;6034.78783229
86000;6255.01508219
86100;5809.15215443
86200;5861.37703507
86300;6150.16064682
86400;4569.35395475
86500;5190.32050443
86600;6930.49671472
86700;6936.95264547
86800;6208.89442453
86900;5975.45564886
87000;6016.54092479
87100;5931.75723763
87200;5896.34727179
87300;6016.9723444
87400;5782.82673816
87500;5786.88432826
87600;6102.65003953
87700;6144.46354694
87800;5934.70833757
87900;5744.09507813
88000;6000.30078011
88100;5465.48025581
88200;5995.1759104
88300;6154.5729481
88400;5749.66919239
88500;6071.50977006
88600;2829.47063605
88700;1906.99092803
88800;4691.78955775
88900;5899.34665889
89000;5948.50524791
89100;6054.68249359
89200;5952.56854033
89300;6022.60635493
89400;5991.57263735
89500;6042.6661022
89600;5671.3377804
89700;5543.34742957
89800;6013.66790418
89900;4745.34721873
90000;6055.51667017
90100;6065.79119001
90200;5815.22449219
90300;5658.14075207
90400;5010.3618341
90500;5811.50829319
90600;6181.28030717
90700;6007.02826181
90800;5837.55701172
90900;6066.95247819
91000;5649.61231429
91100;6072.81789068
91200;5807.38138994
91300;5723.07650071
91400;6038.97034178
91500;5851.65775404
91600;5992.84012842
91700;6104.54710005
91800;6033.63635252
91900;6137.94924554
92000;5883.50787315
92100;5610.19429904
92200;5690.30752693
92300;6057.38688898
92400;5614.79158028
92500;5266.99697415
92600;6022.45127927
92700;6035.72101135
92800;5897.14629939
92900;6023.90276207
93000;5473.51768456
93100;6195.48647543
93200;6029.88875065
93300;5506.07222569
93400;5927.27915368
93500;5462.26183341
93600;5649.9628205
93700;5879.79962696
93800;4967.64066633
93900;5883.21898801
94000;5694.54466541
94100;5983.39179776
94200;6096.64607221
94300;5677.86227853
94400;5996.05501425
94500;5587.13056968
94600;5834.94946143
94700;5828.12755246
94800;6053.36400004
94900;5620.59963913
95000;6085.57324981
95100;5945.39021484
95200;6036.67023217
95300;6001.73510861
95400;5752.11237156
95500;5483.64212467
95600;5876.4366925
95700;5713.34730386
95800;6064.402713
95900;5735.90820679
96000;6189.17980374
96100;5941.33895423
96200;5580.38700505
96300;5622.02458748
96400;5617.15178097
96500;5557.39232197
96600;5885.73338776
96700;5888.92413271
96800;5968.87122939
96900;5700.60955037
97000;5812.36645207
97100;5831.49721982
97200;5562.26163305
97300;5977.309018
97400;5842.93622108
97500;5805.23311823
97600;5959.8955893
97700;5996.92350121
97800;5589.56387644
97900;5544.20688311
98000;5846.73949574
98100;5987.21681351
98200;6021.22167796
98300;5750.42903415
98400;5719.07549356
98500;6001.21064573
98600;5790.02618917
98700;6001.98887869
98800;6148.68157566
98900;5956.11049304
99000;6076.78994256
99100;6023.04985243
99200;5934.20909737
99300;6168.06043374
99400;5903.41921427
99500;6022.63808378
99600;5925.28309747
99700;5818.200534
99800;6172.77675149
99900;5994.25063555
100000;5932.94710323
