sid,arrsize,bsize,nthreads,total,draw,scatter,sort,gather
1,33554432,578,1,8896292.743164,225396.579102,1938404.633789,6364390.180664,368100.398438
2,33554432,578,1,8890242.434570,225627.674805,1931286.924805,6365201.604492,368125.373047
0,33554432,568,1,8941129.383789,260513.109375,1958453.787109,6353965.441406,368196.191406
1,33554432,568,1,8906349.071289,225586.227539,1961389.636719,6351159.407227,368212.973633
2,33554432,568,1,8901308.956055,225597.212891,1959092.866211,6348444.954102,368172.765625
0,33554432,559,1,8934885.796875,259122.283203,1975522.478516,6332066.000000,368174.234375
1,33554432,559,1,8908507.011719,225310.253906,1978601.478516,6336466.468750,368127.941406
2,33554432,559,1,8901711.970703,225317.704102,1971809.623047,6336699.863281,367883.677734
0,33554432,550,1,8923080.326172,259405.066406,1977303.675781,6317720.583984,368650.289062
1,33554432,550,1,8894959.922852,225642.758789,1981737.252930,6318882.454102,368696.770508
2,33554432,550,1,8898448.265625,225667.237305,1980355.826172,6323692.009766,368732.350586
0,33554432,541,1,8913161.959961,259212.873047,1979328.697266,6306085.672852,368533.953125
1,33554432,541,1,8888060.156250,225562.233398,1985170.755859,6308919.895508,368406.371094
2,33554432,541,1,8876057.875977,225648.675781,1976021.738281,6305899.803711,368486.668945
0,33554432,532,1,8899621.151367,259466.297852,1975212.236328,6296063.947266,368877.807617
